Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
SVM,0.7299771167048055,0.40725806451612906,0.531578947368421,0.4611872146118721,0.7115189289012004
Random Forest,0.7585812356979404,0.44776119402985076,0.47368421052631576,0.46035805626598464,0.7087257617728532
XGBoost,0.7276887871853547,0.4032258064516129,0.5263157894736842,0.45662100456621,0.6990650969529086
Logistic Regression,0.7254004576659039,0.3983739837398374,0.5157894736842106,0.44954128440366975,0.7196675900277009
Naive Bayes,0.7791762013729977,0.48905109489051096,0.3526315789473684,0.40978593272171254,0.7244690674053554
Decision Tree,0.7082379862700229,0.34299516908212563,0.3736842105263158,0.35768261964735515,0.5920475530932594
KNN,0.7585812356979404,0.3870967741935484,0.18947368421052632,0.254416961130742,0.6442059095106186
